acc_train	acc_val	loss
0.01590958316	0.01470848839	747580.8746
0.02091086302	0.03632819422	50212.92917
0.07383779314	0.1059720007	46036.48589
0.1655344872	0.1759702286	39431.21508
0.2613464075	0.2160198476	33097.28982
0.3696024573	0.233740918	27520.45986
0.4927245161	0.2387028177	22428.75571
0.6077342627	0.2335637072	17913.8652
0.6580817926	0.2309055467	14504.2213
0.6670210881	0.2220450115	12476.44728
0.6642841672	0.225943647	11339.92575
0.6595388584	0.2185007974	10680.9923
0.6596373088	0.2234626971	10326.45051
0.658948156	0.22417154	10117.10128
0.6578258216	0.2268297005	9979.445595
0.6567822474	0.2215133794	9852.538506
0.6571366688	0.2278929647	9753.696517
0.6588103255	0.2296650718	9665.736143
0.6590269163	0.2317916002	9577.366682
0.659204127	0.2255892256	9493.730024
